X,Y,OBJECTID,Name
-66.664887,45.986404,1,Royal Road
-66.588093,45.984069,2,Royals Back (lit)
-66.660401,45.978234,3,Johnston
-66.660159,45.976705,4,Dunham Field
-66.632113,45.9367,5,Forest Hill
-66.621825,45.963885,6,Henry Park B (lit)
-66.619703,45.964143,7,Henry Park
-66.682616,45.948701,8,Prospect Street Upper
-66.659545,45.977887,9,Tingley Field
-66.641463,45.953653,10,Queen Sqaure B
-66.669546,45.947309,11,Thompson Field
-66.631497,45.930561,12,Kimble Field (lit)
-66.579119,45.903407,13,Lincoln
-66.587884,45.982731,14,Royals Senior (lit)
-66.64185,45.986257,15,MacLoon Field
-66.586636,45.982155,16,Royals Front
-66.621085,45.964467,17,Henry Park A
-66.677302,45.981502,18,MacAdam Avenue
-66.681545,45.949507,19,Prospect Street Lower (lit)
-66.640486,45.952639,20,Queen Sqaure A (lit)
-66.633104,45.948243,21,Morell Park
-66.624942,45.923348,22,Southwood
-66.615299,45.967023,23,Malloy Field
-66.616513,45.967787,24,Fisher Field
